"ID Cliente","Zona","País","Tipo de producto","Canal de venta","Prioridad","Fecha pedido","Unidades","Precio Unitario","Coste unitario","Importe venta total","Importe Coste total","Año","Mes"
"C6740","europa","Austria","Cereales","Offline","Baja","7/10/2020","1424","  205.70 € ","  117.11 € ","  292,916.80 € ","  166,764.64 € ","2020","7"
"C4428","europa","Spain","Ropa","Offline","Baja","1/16/2022","4212","  109.28 € ","  35.84 € ","  460,287.36 € ","  150,958.08 € ","2022","1"
"C7885","Asia","China","Alimento infantil","Online","Crítica","10/27/2020","2509","  255.28 € ","  159.42 € ","  640,497.52 € ","  399,984.78 € ","2020","10"
"C3863","Africa","Qatar","Cosméticos","Online","Media","7/21/2022","3819","  437.20 € ","  263.33 € ","  1,669,666.80 € ","  1,005,657.27 € ","2022","7"
"C2314","europa","Georgia","Cuidado personal","Online","Crítica","11/22/2021","7679","  81.73 € ","  56.67 € ","  627,604.67 € ","  435,168.93 € ","2021","11"
"C4896","Asia","Kazakhstan","Doméstico","Online","Media","1/18/2021","656","  668.27 € ","  502.54 € ","  438,385.12 € ","  329,666.24 € ","2021","1"
"C9468","Africa","Namibia","Cuidado personal","Offline","Baja","8/18/2022","1348","  81.73 € ","  56.67 € ","  110,172.04 € ","  76,391.16 € ","2022","8"
"C5594","Centroamérica y Caribe","Jamaica","Cárnicos","Offline","Baja","7/1/2022","5386","  421.89 € ","  364.69 € ","  2,272,299.54 € ","  1,964,220.34 € ","2022","7"
"C6039","Africa","Syria","Verduras","Offline","Media","8/22/2022","431","  154.06 € ","  90.93 € ","  66,399.86 € ","  39,190.83 € ","2022","8"
"C6272","Africa","Tanzania","Frutas","Offline","Crítica","2/24/2021","1174","  9.33 € ","  6.92 € ","  10,953.42 € ","  8,124.08 € ","2021","2"
"C6967","Africa","Angola","Alimento infantil","Online","Alta","4/1/2022","4340","  255.28 € ","  159.42 € ","  1,107,915.20 € ","  691,882.80 € ","2022","4"
"C9498","Asia","China","Cuidado personal","Offline","Baja","7/18/2020","3684","  81.73 € ","  56.67 € ","  301,093.32 € ","  208,772.28 € ","2020","7"
"C2444","europa","Hungary","Cuidado personal","Offline","Baja","6/30/2022","4991","  81.73 € ","  56.67 € ","  407,914.43 € ","  282,839.97 € ","2022","6"
"C2087","europa","Norway","Doméstico","Offline","Alta","1/29/2022","1080","  668.27 € ","  502.54 € ","  721,731.60 € ","  542,743.20 € ","2022","1"
"C2912","Australia y Oceanía","Australia","Cárnicos","Offline","Crítica","4/9/2022","6798","  421.89 € ","  364.69 € ","  2,868,008.22 € ","  2,479,162.62 € ","2022","4"
"C9106","Africa","Nigeria","Doméstico","Offline","Media","2/22/2022","4025","  668.27 € ","  502.54 € ","  2,689,786.75 € ","  2,022,723.50 € ","2022","2"
"C3061","Asia","Thailand","Material de oficina","Online","Media","3/9/2021","6674","  651.21 € ","  524.96 € ","  4,346,175.54 € ","  3,503,583.04 € ","2021","3"
"C3872","Asia","Taiwan","Frutas","Offline","Alta","9/16/2020","5685","  9.33 € ","  6.92 € ","  53,041.05 € ","  39,340.20 € ","2020","9"
"C8834","Asia","India","Verduras","Online","Baja","6/5/2022","4033","  154.06 € ","  90.93 € ","  621,323.98 € ","  366,720.69 € ","2022","6"
"C6950","europa","Romania","Bebida","Offline","Baja","4/24/2021","1723","  47.45 € ","  31.79 € ","  81,756.35 € ","  54,774.17 € ","2021","4"
"C1422","Australia y Oceanía","East Timor","Cosméticos","Online","Baja","4/23/2021","790","  437.20 € ","  263.33 € ","  345,388.00 € ","  208,030.70 € ","2021","4"
"C5158","europa","Bosnia and Herzegovina","Cereales","Online","Baja","6/28/2022","303","  205.70 € ","  117.11 € ","  62,327.10 € ","  35,484.33 € ","2022","6"
"C9266","europa","Ireland","Cuidado personal","Offline","Baja","6/14/2022","1359","  81.73 € ","  56.67 € ","  111,071.07 € ","  77,014.53 € ","2022","6"
"C5561","europa","Croatia","Doméstico","Online","Baja","8/19/2020","2089","  668.27 € ","  502.54 € ","  1,396,016.03 € ","  1,049,806.06 € ","2020","8"
"C9058","Africa","Iraq","Alimento infantil","Online","Baja","8/6/2022","2653","  255.28 € ","  159.42 € ","  677,257.84 € ","  422,941.26 € ","2022","8"
"C8476","europa","Malta","Material de oficina","Online","Crítica","6/7/2021","245","  651.21 € ","  524.96 € ","  159,546.45 € ","  128,615.20 € ","2021","6"
"C6738","europa","Ireland","Cárnicos","Offline","Baja","1/26/2022","4087","  421.89 € ","  364.69 € ","  1,724,264.43 € ","  1,490,488.03 € ","2022","1"
"C7470","Africa","Madagascar","Alimento infantil","Online","Baja","9/14/2022","435","  255.28 € ","  159.42 € ","  111,046.80 € ","  69,347.70 € ","2022","9"
"C1499","europa","Austria","Cosméticos","Online","Media","12/1/2021","7575","  437.20 € ","  263.33 € ","  3,311,790.00 € ","  1,994,724.75 € ","2021","12"
"C7358","Africa","Sierra Leone","Cuidado personal","Offline","Crítica","2/17/2020","824","  81.73 € ","  56.67 € ","  67,345.52 € ","  46,696.08 € ","2020","2"
"C3782","europa","Netherlands","Material de oficina","Online","Crítica","1/9/2021","7531","  651.21 € ","  524.96 € ","  4,904,262.51 € ","  3,953,473.76 € ","2021","1"
"C6208","europa","Croatia","Cosméticos","Offline","Alta","7/15/2021","2075","  437.20 € ","  263.33 € ","  907,190.00 € ","  546,409.75 € ","2021","7"
"C8278","Centroamérica y Caribe","Trinidad and Tobago","Snacks","Offline","Baja","11/11/2021","869","  152.58 € ","  97.44 € ","  132,592.02 € ","  84,675.36 € ","2021","11"
"C4335","Asia","South Korea","Doméstico","Offline","Crítica","3/5/2021","7353","  668.27 € ","  502.54 € ","  4,913,789.31 € ","  3,695,176.62 € ","2021","3"
"C2928","Australia y Oceanía","Samoa ","Cárnicos","Offline","Alta","11/24/2021","7003","  421.89 € ","  364.69 € ","  2,954,495.67 € ","  2,553,924.07 € ","2021","11"
"C4307","europa","Albania","Material de oficina","Offline","Baja","7/31/2022","2322","  651.21 € ","  524.96 € ","  1,512,109.62 € ","  1,218,957.12 € ","2022","7"
"C4925","Africa","Cape Verde","Frutas","Online","Media","3/3/2022","7846","  9.33 € ","  6.92 € ","  73,203.18 € ","  54,294.32 € ","2022","3"
"C1939","europa","Italy","Bebida","Online","Baja","6/9/2021","5145","  47.45 € ","  31.79 € ","  244,130.25 € ","  163,559.55 € ","2021","6"
"C6709","europa","Hungary","Bebida","Offline","Baja","7/26/2021","7815","  47.45 € ","  31.79 € ","  370,821.75 € ","  248,438.85 € ","2021","7"
"C4298","Asia","Maldives","Alimento infantil","Offline","Crítica","9/17/2022","6486","  255.28 € ","  159.42 € ","  1,655,746.08 € ","  1,033,998.12 € ","2022","9"
"C2971","Africa","Mali","Doméstico","Offline","Alta","7/25/2022","3821","  668.27 € ","  502.54 € ","  2,553,459.67 € ","  1,920,205.34 € ","2022","7"
"C2700","Africa","Yemen","Cuidado personal","Online","Media","8/26/2020","9511","  81.73 € ","  56.67 € ","  777,334.03 € ","  538,988.37 € ","2020","8"
"C8654","Asia","North Korea","Snacks","Offline","Baja","8/15/2022","5279","  152.58 € ","  97.44 € ","  805,469.82 € ","  514,385.76 € ","2022","8"
"C8711","Asia","Uzbekistan","Cereales","Offline","Alta","8/28/2021","9882","  205.70 € ","  117.11 € ","  2,032,727.40 € ","  1,157,281.02 € ","2021","8"
"C4949","europa","Latvia","Verduras","Online","Baja","10/12/2022","4104","  154.06 € ","  90.93 € ","  632,262.24 € ","  373,176.72 € ","2022","10"
"C9149","Asia","Singapore","Snacks","Offline","Crítica","5/29/2021","5764","  152.58 € ","  97.44 € ","  879,471.12 € ","  561,644.16 € ","2021","5"
"C2297","europa","Lithuania","Doméstico","Online","Baja","12/7/2021","4709","  668.27 € ","  502.54 € ","  3,146,883.43 € ","  2,366,460.86 € ","2021","12"
"C2079","Africa","Senegal","Bebida","Offline","Alta","1/4/2022","7821","  47.45 € ","  31.79 € ","  371,106.45 € ","  248,629.59 € ","2022","1"
"C4389","Africa","South Sudan","Verduras","Offline","Crítica","7/20/2022","4009","  154.06 € ","  90.93 € ","  617,626.54 € ","  364,538.37 € ","2022","7"
"C5819","europa","Bulgaria","Alimento infantil","Online","Alta","7/30/2020","9217","  255.28 € ","  159.42 € ","  2,352,915.76 € ","  1,469,374.14 € ","2020","7"
"C8167","Africa","Seychelles ","Cárnicos","Offline","Alta","2/4/2022","1417","  421.89 € ","  364.69 € ","  597,818.13 € ","  516,765.73 € ","2022","2"
"C4933","Centroamérica y Caribe","Saint Kitts and Nevis ","Doméstico","Online","Alta","8/24/2020","5616","  668.27 € ","  502.54 € ","  3,753,004.32 € ","  2,822,264.64 € ","2020","8"
"C3822","Centroamérica y Caribe","Saint Vincent and the Grenadines","Alimento infantil","Offline","Alta","8/10/2021","8848","  255.28 € ","  159.42 € ","  2,258,717.44 € ","  1,410,548.16 € ","2021","8"
"C4239","europa","Andorra","Cosméticos","Offline","Baja","10/2/2020","5182","  437.20 € ","  263.33 € ","  2,265,570.40 € ","  1,364,576.06 € ","2020","10"
"C1796","Africa","Mali","Cárnicos","Offline","Crítica","11/3/2022","716","  421.89 € ","  364.69 € ","  302,073.24 € ","  261,118.04 € ","2022","11"
"C1804","Africa","Togo","Cuidado personal","Offline","Media","2/26/2020","8579","  81.73 € ","  56.67 € ","  701,161.67 € ","  486,171.93 € ","2020","2"
"C5780","Asia","Thailand","Cárnicos","Offline","Alta","7/17/2022","3934","  421.89 € ","  364.69 € ","  1,659,715.26 € ","  1,434,690.46 € ","2022","7"
"C6943","europa","Moldova ","Doméstico","Online","Alta","9/1/2021","8972","  668.27 € ","  502.54 € ","  5,995,718.44 € ","  4,508,788.88 € ","2021","9"
"C3715","Centroamérica y Caribe","Trinidad and Tobago","Alimento infantil","Online","Alta","1/14/2021","7917","  255.28 € ","  159.42 € ","  2,021,051.76 € ","  1,262,128.14 € ","2021","1"
"C4222","Asia","Japan","Bebida","Online","Media","4/6/2020","2024","  47.45 € ","  31.79 € ","  96,038.80 € ","  64,342.96 € ","2020","4"
"C3793","Africa","Central African Republic","Cereales","Offline","Crítica","3/23/2022","4578","  205.70 € ","  117.11 € ","  941,694.60 € ","  536,129.58 € ","2022","3"
"C7459","Africa","Azerbaijan","Cuidado personal","Online","Baja","3/11/2020","5899","  81.73 € ","  56.67 € ","  482,125.27 € ","  334,296.33 € ","2020","3"
"C7456","Africa","Mauritania","Frutas","Offline","Baja","2/20/2022","8333","  9.33 € ","  6.92 € ","  77,746.89 € ","  57,664.36 € ","2022","2"
"C5720","europa","Portugal","Snacks","Offline","Media","9/16/2020","1261","  152.58 € ","  97.44 € ","  192,403.38 € ","  122,871.84 € ","2020","9"
"C9394","Africa","Liberia","Bebida","Online","Baja","5/22/2020","6095","  47.45 € ","  31.79 € ","  289,207.75 € ","  193,760.05 € ","2020","5"
"C8321","Africa","South Sudan","Frutas","Online","Alta","10/12/2021","1276","  9.33 € ","  6.92 € ","  11,905.08 € ","  8,829.92 € ","2021","10"
"C6549","Africa","Cameroon","Frutas","Online","Baja","2/28/2020","7277","  9.33 € ","  6.92 € ","  67,894.41 € ","  50,356.84 € ","2020","2"
"C8829","Centroamérica y Caribe","Cuba","Cárnicos","Online","Baja","3/23/2021","1605","  421.89 € ","  364.69 € ","  677,133.45 € ","  585,327.45 € ","2021","3"
"C7113","Africa","Malawi","Frutas","Online","Baja","6/27/2022","3795","  9.33 € ","  6.92 € ","  35,407.35 € ","  26,261.40 € ","2022","6"
"C3059","Australia y Oceanía","Tuvalu","Bebida","Offline","Baja","6/9/2020","415","  47.45 € ","  31.79 € ","  19,691.75 € ","  13,192.85 € ","2020","6"
"C3527","Africa","Burundi","Cárnicos","Offline","Alta","7/19/2020","62","  421.89 € ","  364.69 € ","  26,157.18 € ","  22,610.78 € ","2020","7"
"C7079","Africa","Liberia","Verduras","Online","Crítica","7/15/2021","8367","  154.06 € ","  90.93 € ","  1,289,020.02 € ","  760,811.31 € ","2021","7"
"C8482","Asia","Turkmenistan","Verduras","Offline","Media","7/13/2022","2992","  154.06 € ","  90.93 € ","  460,947.52 € ","  272,062.56 € ","2022","7"
"C3205","Africa","Uganda","Doméstico","Online","Media","8/16/2021","8628","  668.27 € ","  502.54 € ","  5,765,833.56 € ","  4,335,915.12 € ","2021","8"
"C9920","Africa","Lebanon","Alimento infantil","Online","Alta","3/6/2020","1999","  255.28 € ","  159.42 € ","  510,304.72 € ","  318,680.58 € ","2020","3"
"C3003","europa","Switzerland","Material de oficina","Online","Media","5/20/2021","6861","  651.21 € ","  524.96 € ","  4,467,951.81 € ","  3,601,750.56 € ","2021","5"
"C7032","Africa","Kuwait","Verduras","Online","Alta","4/2/2020","8998","  154.06 € ","  90.93 € ","  1,386,231.88 € ","  818,188.14 € ","2020","4"
"C2289","Asia","India","Ropa","Offline","Alta","3/17/2022","1229","  109.28 € ","  35.84 € ","  134,305.12 € ","  44,047.36 € ","2022","3"
"C1260","Africa","Angola","Cereales","Online","Crítica","8/22/2021","8402","  205.70 € ","  117.11 € ","  1,728,291.40 € ","  983,958.22 € ","2021","8"
"C8131","Asia","Uzbekistan","Bebida","Offline","Crítica","6/28/2020","2397","  47.45 € ","  31.79 € ","  113,737.65 € ","  76,200.63 € ","2020","6"
"C5294","europa","Latvia","Cuidado personal","Offline","Crítica","2/5/2021","7126","  81.73 € ","  56.67 € ","  582,407.98 € ","  403,830.42 € ","2021","2"
"C2844","Africa","Ghana","Cárnicos","Offline","Media","12/2/2021","3530","  421.89 € ","  364.69 € ","  1,489,271.70 € ","  1,287,355.70 € ","2021","12"
"C7077","europa","Poland","Bebida","Online","Crítica","10/22/2021","4583","  47.45 € ","  31.79 € ","  217,463.35 € ","  145,693.57 € ","2021","10"
"C6994","Asia","Mongolia","Cosméticos","Online","Baja","6/15/2021","290","  437.20 € ","  263.33 € ","  126,788.00 € ","  76,365.70 € ","2021","6"
"C5799","Asia","Vietnam","Cereales","Online","Crítica","12/13/2021","2687","  205.70 € ","  117.11 € ","  552,715.90 € ","  314,674.57 € ","2021","12"
"C7399","europa","United Kingdom","Cereales","Online","Baja","6/29/2020","842","  205.70 € ","  117.11 € ","  173,199.40 € ","  98,606.62 € ","2020","6"
"C2903","Australia y Oceanía","Vanuatu","Ropa","Offline","Baja","5/31/2020","5854","  109.28 € ","  35.84 € ","  639,725.12 € ","  209,807.36 € ","2020","5"
"C2125","Africa","Ethiopia","Frutas","Online","Baja","2/22/2021","5851","  9.33 € ","  6.92 € ","  54,589.83 € ","  40,488.92 € ","2021","2"
"C2080","Africa","Niger","Frutas","Online","Crítica","7/13/2022","996","  9.33 € ","  6.92 € ","  9,292.68 € ","  6,892.32 € ","2022","7"
"C9487","Africa","Central African Republic","Cuidado personal","Offline","Alta","7/9/2020","8480","  81.73 € ","  56.67 € ","  693,070.40 € ","  480,561.60 € ","2020","7"
"C9270","Africa","Cape Verde","Snacks","Offline","Crítica","1/18/2020","7527","  152.58 € ","  97.44 € ","  1,148,469.66 € ","  733,430.88 € ","2020","1"
"C5053","Norteamérica","United States of America","Cuidado personal","Offline","Crítica","2/26/2022","4393","  81.73 € ","  56.67 € ","  359,039.89 € ","  248,951.31 € ","2022","2"
"C5665","Africa","Sudan","Frutas","Offline","Crítica","7/30/2022","7363","  9.33 € ","  6.92 € ","  68,696.79 € ","  50,951.96 € ","2022","7"
"C2639","Africa","Republic of the Congo","Material de oficina","Offline","Crítica","9/24/2021","1755","  651.21 € ","  524.96 € ","  1,142,873.55 € ","  921,304.80 € ","2021","9"
"C1708","Australia y Oceanía","Federated States of Micronesia","Frutas","Online","Crítica","6/10/2020","4917","  9.33 € ","  6.92 € ","  45,875.61 € ","  34,025.64 € ","2020","6"
"C9311","Africa","South Sudan","Frutas","Offline","Baja","5/10/2021","1229","  9.33 € ","  6.92 € ","  11,466.57 € ","  8,504.68 € ","2021","5"
"C1089","Africa","Cape Verde","Frutas","Online","Media","10/27/2021","7102","  9.33 € ","  6.92 € ","  66,261.66 € ","  49,145.84 € ","2021","10"
"C7385","Australia y Oceanía","Palau","Doméstico","Offline","Alta","12/31/2020","5979","  668.27 € ","  502.54 € ","  3,995,586.33 € ","  3,004,686.66 € ","2020","12"
"C9749","Africa","Bahrain","Material de oficina","Offline","Baja","4/29/2021","3333","  651.21 € ","  524.96 € ","  2,170,482.93 € ","  1,749,691.68 € ","2021","4"
"C8429","Africa","Algeria","Material de oficina","Offline","Media","5/4/2021","1670","  651.21 € ","  524.96 € ","  1,087,520.70 € ","  876,683.20 € ","2021","5"
"C8880","Africa","Botswana","Cuidado personal","Online","Crítica","11/7/2022","5525","  81.73 € ","  56.67 € ","  451,558.25 € ","  313,101.75 € ","2022","11"
"C8258","Africa","Seychelles ","Doméstico","Offline","Media","12/1/2020","6466","  668.27 € ","  502.54 € ","  4,321,033.82 € ","  3,249,423.64 € ","2020","12"
"C8924","Africa","The Gambia","Material de oficina","Online","Alta","6/8/2022","8091","  651.21 € ","  524.96 € ","  5,268,940.11 € ","  4,247,451.36 € ","2022","6"
"C4939","Africa","Guinea-Bissau","Material de oficina","Online","Baja","11/2/2021","1030","  651.21 € ","  524.96 € ","  670,746.30 € ","  540,708.80 € ","2021","11"
"C4571","Africa","Pakistan","Verduras","Offline","Baja","7/17/2022","7945","  154.06 € ","  90.93 € ","  1,224,006.70 € ","  722,438.85 € ","2022","7"
"C7789","Africa","Mauritania","Cárnicos","Online","Media","3/19/2021","8527","  421.89 € ","  364.69 € ","  3,597,456.03 € ","  3,109,711.63 € ","2021","3"
"C1764","Asia","Thailand","Material de oficina","Online","Alta","8/22/2020","4501","  651.21 € ","  524.96 € ","  2,931,096.21 € ","  2,362,844.96 € ","2020","8"
"C1373","Africa","Afghanistan","Cárnicos","Offline","Media","8/1/2022","4621","  421.89 € ","  364.69 € ","  1,949,553.69 € ","  1,685,232.49 € ","2022","8"
"C8693","Africa","The Gambia","Ropa","Online","Baja","8/17/2020","9673","  109.28 € ","  35.84 € ","  1,057,065.44 € ","  346,680.32 € ","2020","8"
